category,n_gold,retr_hit,retr_miss,extr_ok,extr_miss,fp_zero_gt,fp_with_gt
Post-Termination Services,6,3,3,3,0,4,15
Parties,28,18,10,14,4,0,1
Cap On Liability,16,6,10,4,2,2,3
Revenue/Profit Sharing,4,1,3,0,1,0,7
License Grant,8,0,8,0,0,1,1
Effective Date,7,3,4,1,2,0,2
Audit Rights,10,9,1,5,4,0,3
Volume Restriction,8,0,8,0,0,0,0
Document Name,6,2,4,1,1,0,2
Minimum Commitment,8,1,7,1,0,0,0
Expiration Date,6,4,2,1,3,0,1
Warranty Duration,5,3,2,0,3,0,1
Exclusivity,5,1,4,1,0,2,2
Covenant Not To Sue,5,4,1,1,3,2,2
Ip Ownership Assignment,4,4,0,2,2,1,4
Anti-Assignment,8,4,4,3,1,0,0
Non-Compete,6,2,4,2,0,1,1
Governing Law,6,3,3,2,1,0,0
Insurance,8,6,2,6,0,0,2
Agreement Date,6,3,3,3,0,0,0
Change Of Control,3,3,0,2,1,1,2
Competitive Restriction Exception,2,0,2,0,0,3,1
No-Solicit Of Customers,3,2,1,1,1,0,0
Renewal Term,1,0,1,0,0,2,0
Affiliate License-Licensee,1,0,1,0,0,0,0
Unlimited/All-You-Can-Eat-License,1,0,1,0,0,0,0
Non-Transferable License,1,0,1,0,0,0,0
Irrevocable Or Perpetual License,1,0,1,0,0,0,0
Termination For Convenience,3,3,0,3,0,0,0
Most Favored Nation,1,1,0,1,0,0,0
No-Solicit Of Employees,1,1,0,1,0,0,0
Uncapped Liability,0,0,0,0,0,4,0
Notice Period To Terminate Renewal,0,0,0,0,0,1,0
Price Restrictions,0,0,0,0,0,3,0
Affiliate License-Licensor,0,0,0,0,0,1,0
Third Party Beneficiary,0,0,0,0,0,1,0
