arm,model,shortlist_n,top_k,n_contracts,nat_tp,nat_fp,nat_fn,nat_precision,nat_recall,nat_f1,nat_f2,nat_aupr,nat_jaccard,r_at_k,coverage,ce_tp,ce_tn,ce_fp,ce_fn,ce_precision,ce_recall,ce_f1,ce_f2,ce_jaccard,ce_false_rate,ce_f1_strict,ce_f2_strict,fn_retrieval,fn_extraction,fn_retrieval_share,input_tokens,output_tokens,cost_usd,wall_minutes
qwen3_rrf_n20_top8,gpt-4.1,20,8,102,1357,1720,1286,0.441,0.5134,0.4745,0.4971,0.3699,0.476,0.7695,0.9883,777,2518,420,467,0.6491,0.6246,0.6366,0.6294,0.4881,0.0493,0.4921,0.4571,147,320,0.3148,8302021,199552,18.200458,11.4
qwen3_rrf_n10_top5,gpt-4.1,10,5,102,1269,1449,1374,0.4669,0.4801,0.4734,0.4774,0.3522,0.4115,0.693,0.9883,710,2582,356,534,0.666,0.5707,0.6147,0.5876,0.4693,0.0545,0.4667,0.4185,230,304,0.4307,5677043,165270,12.676246,7.68
